mist‰;mihin;mml_alussa;mml_lopussa;alkoi;p‰‰ttyi
A;B;1000;1001;1.9.2026 9:31;2.9.2026 10:00
B;A;1001;1002;2.9.2026 10:05;1.9.2026 10:28
A;X;1003;1005;1.9.2026 10:47;1.9.2026 11:05
X;A;1005;1007;2.9.2026 11:12;1.9.2026 11:27
A;Y;1007;1008;1.9.2026 12:31;2.9.2026 12:50
Y;A;1008;1009;2.9.2026 12:55;1.9.2026 13:27
A;B;1009;1010;2.9.2026 9:03;2.9.2026 9:50
B;A;1010;1011;2.9.2026 10:00;2.9.2026 10:43
A;Z;1011;1020;2.9.2026 14:05;2.9.2026 14:20
Z;A;1020;1029;2.9.2026 15:20;2.9.2026 15:44
A;C;1029;1030;3.9.2026 8:05;3.9.2026 8:25
C;D;1030;1035;3.9.2026 14:00;3.9.2026 16:10
D;A;1035;1040;4.9.2026 15:15;4.9.2026 15:42
A;X;1040;1042;5.9.2026 10:48;5.9.2026 11:00
X;A;1042;1044;5.9.2026 11:05;5.9.2026 11:22
A;V;1044;1054;5.9.2026 11:48;5.9.2026 12:30
V;W;1054;1154;5.9.2026 12:40;5.9.2026 13:40
W;A;1154;1260;5.9.2026 14:00;5.9.2026 14:28
A;B;1260;1261;5.9.2026 14:46;5.9.2026 14:58
B;A;1261;1262;5.9.2026 15:01;5.9.2026 15:27
A;B;1262;1263;6.9.2026 9:04;6.9.2026 9:20
B;A;1263;1264;6.9.2026 11:25;6.9.2026 11:48
